Field,Content Accuracy,Presence Rate,Count
name,0.7142857142857143,0,14
relationship,0.0,0,18
current_occupation_1,0.0,0,1
military_award,0.0,0,1
award_reason,0.0,0,1
award_year,0.0,0,1
award,0.0,0,1
employment_period,0.0,0,1
work_project,0.0,0,1
employer,0.0,0,1
graduation_year,0.0,0,1
number_of_children,0.0,0,1
children,0.0,0,1
residence,0.0,0,1
immigration_year_2,0.0,0,1
immigration_destination_2,0.0,0,1
immigration_year_1,0.0,0,1
immigration_destination_1,0.0,0,1
meeting_year,0.0,0,1
meeting_location,0.0,0,1
historical_trauma,0.0,0,1
location,0.0,0,2
industry,0.0,0,1
current_age,0.0,0,2
support_duration,0.0,0,1
support_services,0.0,0,1
character_trait,0.0,0,1
family_structure,0.0,0,1
stepchildren_origin,0.0,0,1
stepchildren_status,0.0,0,1
stepchildren_relationship,0.0,0,1
injury_context,0.0,0,1
current_occupation_2,0.0,0,1
family_change_type,0.0,0,1
service_recipients,0.0,0,1
current_living_situation,0.0,0,1
self_location,0.0,0,1
self_occupation,0.0,0,1
sister_location,0.0,0,1
sister_occupation,0.0,0,1
career_divergence,0.0,0,1
childhood_relationship,0.0,0,1
birth_order,0.0,0,1
tradition_continuation,0.0,0,1
cultural_tradition,0.0,0,1
business_end_year,0.0,0,1
family_business,0.0,0,1
immigration_destination,0.0,0,1
organization_partners,0.0,0,1
philanthropy_method,0.0,0,1
philanthropy,0.0,0,1
current_status,0.0,0,1
medical_facility,0.0,0,1
medical_interventions,0.0,0,1
birth_year,0.0,0,1
career_impact,0.0,0,1
guardian_age,0.0,0,1
guardian_relationship,0.0,0,1
guardian_name,0.0,0,1
age_at_tragedy,0.0,0,1
tragedy_year,0.0,0,1
family_tragedy,0.0,0,1
stepchildren_names,0.0,0,1
family_change_year,0.0,0,1
birthplace,0.0,0,1
transfer_year,0.0,0,1
reason,0.0,0,1
historical_note,0.0,0,1
vessel_name,0.0,0,1
immigration_year,0.0,0,3
destination,0.0,0,3
origin,0.0,0,5
hospital,0.0,0,1
medical_care,0.0,0,1
birth_weight,0.0,0,1
birth_date,0.0,0,3
birth_circumstance,0.0,0,2
other_relationship,0.0,0,1
other_family_member,0.0,0,1
business_transfer,0.0,0,1
family_tradition,0.0,0,1
business_duration,0.0,0,2
business_location,0.0,0,1
business,0.0,0,1
name_2,0.0,0,2
name_1,0.0,0,3
retirement_year,0.0,0,1
workplace_location,0.0,0,1
medical_condition,0.0,0,4
service_period,0.0,0,2
military_service,0.0,0,2
deathdate,0.0,0,1
deathplace,0.0,0,1
birthdate,0.0,0,1
diagnosis_age,0.0,0,2
diagnosis_year,0.0,0,2
achievement,0.0,0,2
specific_achievement,0.0,0,1
cultural_significance,0.0,0,1
fostering_duration,0.0,0,1
children_age_at_adoption,0.0,0,1
adoption_type,0.0,0,1
children_description,0.0,0,1
children_names,0.0,0,1
family_status,0.0,0,1
relationship_2,0.0,0,1
relationship_1,0.0,0,2
workplace,0.0,0,1
career_duration,0.0,0,1
specialization,0.0,0,2
title,0.0,0,1
historical_event_year,0.0,0,1
historical_event,0.0,0,1
historical_context,0.0,0,2
legal_consequence,0.0,0,1
activism_year,0.0,0,1
activism_location,0.0,0,1
activism,0.0,0,1
graduation_date,0.0,0,1
graduation_distinction,0.0,0,1
degree,0.0,0,1
education,0.0,0,3
age_at_adoption,0.0,0,1
adoption_year,0.0,0,2
achievement_year,0.0,0,1
current_relationship,0.0,0,1
